state,district,latitude,longitude
Jammu And Kashmir,Kathua,32.41351435925926,75.13957400962963
Jammu And Kashmir,Kishtwar,12.972023400000001,28.572539942857144
Jammu And Kashmir,Kulgam,75.64758994285714,98.57239452857144
Jammu And Kashmir,Kupwara,34.38855084641975,74.30755133061727
Jammu And Kashmir,Poonch,3.5845229365079367,6.8374679841269845
Jammu And Kashmir,Pulwama,135.23276208157895,211.2613074723684
Jammu And Kashmir,Rajouri,5.294821550704225,10.824835303521127
Jammu And Kashmir,Ramban,5.780040625531915,12.047850265957445
Jammu And Kashmir,Reasi,6.875811653333333,14.523133441666666
Jammu And Kashmir,Samba,32.57967895238095,74.83322992857143
Jammu And Kashmir,Shopian,71.12090972692307,50.692477415384616
Jammu And Kashmir,Srinagar,33.60503289310345,72.7257763637931
Jammu And Kashmir,Udhampur,9.284543295798318,20.630252514285715
Jharkhand,Bokaro,23.737532566120215,85.94491271857923
Jharkhand,Chatra,24.269384009473686,84.81472255526315
Jharkhand,Deoghar,24.2264746768,86.829421144
Jharkhand,Dhanbad,23.779180802702705,86.38947885585587
Jharkhand,Dumka,24.584734645644602,86.84054010209059
Jharkhand,East Singhbum,23.23756405200749,85.47794183595506
Jharkhand,Garhwa,24.186814086021503,83.90065713010752
Jharkhand,Giridih,77.58480474078948,201.511963504386
Jharkhand,Godda,24.805303918181817,87.17234685727273
Jharkhand,Gumla,23.36933131216216,84.62588571396395
Jharkhand,Hazaribagh,24.034284796969697,85.30369604015152
Jharkhand,Jamtara,24.089128075862067,86.83670867011494
Jharkhand,Khunti,23.08448784782609,85.25427795326087
Jharkhand,Koderma,24.958071392771085,83.91542867831325
Jharkhand,Latehar,23.749813267213113,84.53052060437157
Jharkhand,Lohardaga,23.454670335135134,84.77656679054054
Jharkhand,Pakur,24.50189693282443,87.58417145877863
Jharkhand,Palamu,23.96423093269231,84.52885336666667
Jharkhand,Ramgarh,23.720484095774648,85.45227478732394
Jharkhand,Ranchi,23.663194102719032,1216.0956439589122
Jharkhand,Sahebganj,24.885033155339805,87.55233649805824
Jharkhand,Saraikela Kharsawan,22.812319900636943,85.94019947261145
Jharkhand,Simdega,23.33899351651376,84.69700529724771
Jharkhand,West Singhbhum,22.83649305958904,84.79407979109588
Karnataka,Bagalkot,16.388774611515153,75.62032640787879
Karnataka,Ballari,15.283484081862746,75.91225716372549
Karnataka,Belagavi,16.205969929469276,74.7653581877095
Karnataka,Bengaluru Rural,13.206483981679389,77.56475079923663
Karnataka,Bengaluru Urban,12.936123314400001,77.5809618464
Karnataka,Bidar,17.86113409475,77.632651364
Karnataka,Chamarajanagara,12.012728314583333,77.0765500175
Karnataka,Chikkaballapura,13.54001655786802,77.81535598071066
Karnataka,Chikkamagaluru,13.44241487973422,75.69804921129568
Karnataka,Chitradurga,14.8242249775,75.8456391296875
Karnataka,Dakshina Kannada,12.870742132618027,75.12199814077253
Karnataka,Davangere,14.719259673846153,76.37540360730769
Karnataka,Dharwad,15.38329790625,74.84140194038461
Karnataka,Gadag,15.438623759227474,74.94744998706732
Karnataka,Hassan,12.999664561445783,94.24122987012048
Karnataka,Haveri,14.72479762890625,75.41061051535156
Karnataka,Kalaburagi,17.259460828271028,76.88633550817757
Karnataka,Kodagu,12.942298949581396,75.83918436334883
Karnataka,Kolar,13.114503126008968,77.94119022286995
Karnataka,Koppal,15.537892816014478,75.96915875843136
Karnataka,Mandya,12.562547324999999,76.82549660357142
Karnataka,Mysuru,12.294251512045456,76.55604040363636
Karnataka,Raichur,16.082268045172412,76.72999877689655
Karnataka,Ramanagara,12.712310234065933,77.3055480945055
Karnataka,Shivamogga,17.898130445810057,75.32403253212291
Karnataka,Tumakuru,13.439977469787985,76.93729492614841
Karnataka,Udupi,13.438501810334348,74.8117766899696
Karnataka,Uttara Kannada,14.411770892508834,73.85847665501767
Karnataka,Vijayapura,16.760287974615384,75.9583300276923
Karnataka,Vijaynagar,14.89431820375,75.68200532583334
Karnataka,Yadgir,17.644348378109452,76.10583141343284
